outlink_url,article_url,author_url,outlink,author
https://www.harpercollins.com/9780062796738/trumpocracy,https://www.nytimes.com/2018/01/20/opinion/sunday/trump-so-far-is-more-farce-than-tragedy.html,https://www.nytimes.com/column/ross-douthat,harpercollins.com,ross-douthat
https://www.theatlantic.com/magazine/archive/2017/03/how-to-build-an-autocracy/513872/,https://www.nytimes.com/2018/01/20/opinion/sunday/trump-so-far-is-more-farce-than-tragedy.html,https://www.nytimes.com/column/ross-douthat,theatlantic.com,ross-douthat
https://twitter.com/CoreyRobin/status/951992364423417857,https://www.nytimes.com/2018/01/20/opinion/sunday/trump-so-far-is-more-farce-than-tragedy.html,https://www.nytimes.com/column/ross-douthat,twitter.com,ross-douthat
http://www.nationalreview.com/corner/455172/executive-branch-trump-era-yuval-levin,https://www.nytimes.com/2018/01/20/opinion/sunday/trump-so-far-is-more-farce-than-tragedy.html,https://www.nytimes.com/column/ross-douthat,nationalreview.com,ross-douthat
https://www.nytimes.com/2017/11/29/opinion/donald-trump-2016-election.html?_r=0,https://www.nytimes.com/2018/01/17/opinion/trump-women-race.html,https://www.nytimes.com/column/ross-douthat,nytimes.com,ross-douthat
https://www.theatlantic.com/politics/archive/2018/01/the-voters-abandoning-donald-trump/550247/,https://www.nytimes.com/2018/01/17/opinion/trump-women-race.html,https://www.nytimes.com/column/ross-douthat,theatlantic.com,ross-douthat
https://www.axios.com/middle-aged-women-are-leading-the-anti-trump-resistance-1513301325-4232cf1e-8f38-4624-9829-f8b1b2894d2c.html,https://www.nytimes.com/2018/01/17/opinion/trump-women-race.html,https://www.nytimes.com/column/ross-douthat,axios.com,ross-douthat
https://www.nytimes.com/2017/08/09/opinion/google-women-memo.html,https://www.nytimes.com/2018/01/17/opinion/trump-women-race.html,https://www.nytimes.com/column/ross-douthat,nytimes.com,ross-douthat
https://www.themarshallproject.org/2017/12/15/a-mass-incarceration-mystery,https://www.nytimes.com/2018/01/17/opinion/trump-women-race.html,https://www.nytimes.com/column/ross-douthat,themarshallproject.org,ross-douthat
http://www.pewtrusts.org/en/research-and-analysis/analysis/2017/01/12/us-adult-incarceration-rate-declines-13-percent-in-8-years%20back%20on%20the%20rest%20in%205%20mins,https://www.nytimes.com/2018/01/17/opinion/trump-women-race.html,https://www.nytimes.com/column/ross-douthat,pewtrusts.org,ross-douthat
https://medium.com/migration-issues/immigration-is-well-below-post-war-peaks-ad4f308dd789,https://www.nytimes.com/2018/01/17/opinion/trump-women-race.html,https://www.nytimes.com/column/ross-douthat,medium.com,ross-douthat
