article_url,author_url
https://www.nytimes.com/2018/01/08/opinion/anti-trump-opposition.html,https://www.nytimes.com/column/david-brooks
https://www.nytimes.com/2018/01/04/opinion/how-would-jesus-drive.html,https://www.nytimes.com/column/david-brooks
https://www.nytimes.com/2018/01/01/opinion/the-retreat-to-tribalism.html,https://www.nytimes.com/column/david-brooks
https://www.nytimes.com/2017/12/28/opinion/2017-sidney-awards-part-2.html,https://www.nytimes.com/column/david-brooks
https://www.nytimes.com/2017/12/25/opinion/2017-sidney-awards-journalism.html,https://www.nytimes.com/column/david-brooks
https://www.nytimes.com/2018/01/27/opinion/sunday/melania-trump-florida-davos.html,https://www.nytimes.com/column/maureen-dowd
https://www.nytimes.com/2017/12/16/opinion/sunday/sexual-harassment-salma-hayek.html,https://www.nytimes.com/column/maureen-dowd
https://www.nytimes.com/2017/12/09/opinion/sunday/congress-sexual-harassment-dowd.html,https://www.nytimes.com/column/maureen-dowd
https://www.nytimes.com/2017/11/23/opinion/sunday/my-brother-kevins-not-tired-of-winning.html,https://www.nytimes.com/column/maureen-dowd
https://www.nytimes.com/2017/11/18/opinion/sunday/the-hillary-effect.html,https://www.nytimes.com/column/maureen-dowd
https://www.nytimes.com/2017/10/27/opinion/sunday/mark-cubans-not-done-trolling-donald-trump.html,https://www.nytimes.com/column/maureen-dowd
https://www.nytimes.com/2017/10/21/opinion/sunday/jimmy-carter-lusts-trump-posting.html,https://www.nytimes.com/column/maureen-dowd
https://www.nytimes.com/2017/10/14/opinion/sunday/harvey-weinstein-dowd-hollywood.html,https://www.nytimes.com/column/maureen-dowd
https://www.nytimes.com/2017/09/23/opinion/sunday/facebook-zuckerberg-dowd.html,https://www.nytimes.com/column/maureen-dowd
https://www.nytimes.com/2017/09/16/opinion/sunday/brexit-blair-farage-dowd.html,https://www.nytimes.com/column/maureen-dowd
https://www.nytimes.com/2018/01/25/opinion/trump-russia-investigation-mueller.html,https://www.nytimes.com/column/charles-m-blow
https://www.nytimes.com/2018/01/21/opinion/government-shutdown-trump.html,https://www.nytimes.com/column/charles-m-blow
https://www.nytimes.com/2018/01/17/opinion/john-kelly-deportation-ice.html,https://www.nytimes.com/column/charles-m-blow
https://www.nytimes.com/2018/01/14/opinion/trump-racist-shithole.html,https://www.nytimes.com/column/charles-m-blow
https://www.nytimes.com/2018/01/11/opinion/trump-immigration-white-supremacy.html,https://www.nytimes.com/column/charles-m-blow
https://www.nytimes.com/2018/01/07/opinion/trump-stable-genius-smart.html,https://www.nytimes.com/column/charles-m-blow
https://www.nytimes.com/2018/01/04/opinion/trump-attention-economy.html,https://www.nytimes.com/column/charles-m-blow
https://www.nytimes.com/2017/12/21/opinion/republican-tax-heist.html,https://www.nytimes.com/column/charles-m-blow
https://www.nytimes.com/2017/12/17/opinion/omarosa-leaves-white-house.html,https://www.nytimes.com/column/charles-m-blow
https://www.nytimes.com/2017/12/13/opinion/alabama-senate-election-resistance.html,https://www.nytimes.com/column/charles-m-blow
https://www.nytimes.com/2018/01/27/opinion/sunday/mahmoud-abbas-resign.html,https://www.nytimes.com/column/roger-cohen
https://www.nytimes.com/2018/01/26/opinion/open-societies-under-siege.html,https://www.nytimes.com/column/roger-cohen
https://www.nytimes.com/2018/01/20/opinion/sunday/trump-first-year.html,https://www.nytimes.com/column/roger-cohen
https://www.nytimes.com/2018/01/20/opinion/hebron-israel-west-bank.html,https://www.nytimes.com/column/roger-cohen
https://www.nytimes.com/2018/01/02/opinion/trump-right-iran-protest.html,https://www.nytimes.com/column/roger-cohen
https://www.nytimes.com/2017/12/29/opinion/israel-jerusalem-ben-gurion-trump.html,https://www.nytimes.com/column/roger-cohen
https://www.nytimes.com/2017/12/26/opinion/2018-deferred-dreams.html,https://www.nytimes.com/column/roger-cohen
https://www.nytimes.com/2017/12/22/opinion/america-trump-united-nations.html,https://www.nytimes.com/column/roger-cohen
https://www.nytimes.com/2017/12/19/opinion/trump-national-security-strategy-tillerson-haley.html,https://www.nytimes.com/column/roger-cohen
https://www.nytimes.com/2017/12/15/opinion/trump-myanmar-pax-technica.html,https://www.nytimes.com/column/roger-cohen
https://www.nytimes.com/2018/01/26/opinion/sunday/trump-davos-speech.html,https://www.nytimes.com/column/nicholas-kristof
https://www.nytimes.com/2018/01/24/opinion/davos-corporate-social-impact.html,https://www.nytimes.com/column/nicholas-kristof
https://www.nytimes.com/2018/01/19/opinion/sunday/climate-change-bangladesh.html,https://www.nytimes.com/column/nicholas-kristof
https://www.nytimes.com/2018/01/17/opinion/shithole-countries-africa.html,https://www.nytimes.com/column/nicholas-kristof
https://www.nytimes.com/2018/01/12/opinion/sunday/trump-shithole-countries-emmanuel-mensah.html,https://www.nytimes.com/column/nicholas-kristof
https://www.nytimes.com/2018/01/10/opinion/trumps-how-democracies-die.html,https://www.nytimes.com/column/nicholas-kristof
https://www.nytimes.com/2018/01/06/opinion/sunday/2017-progress-illiteracy-poverty.html,https://www.nytimes.com/column/nicholas-kristof
https://www.nytimes.com/2017/12/22/opinion/sunday/cardinal-tobin-christian.html,https://www.nytimes.com/column/nicholas-kristof
https://www.nytimes.com/2017/12/21/opinion/nicholas-kristof-worst-columns.html,https://www.nytimes.com/column/nicholas-kristof
